X,         Y      ,Time,Street,        Offense,Date     ,Tract,Lat,Long
1348656.471,399538.5342,32874,100 BONIFAY ST,ROBBERY,1/1/90,160600,40.40865518,-79.9760891
1359951.481,410726.1273,32874,320 SCHENLEY RD,ROBBERY,1/1/90,140100,40.44013011,-79.93653583
1357049.25,418429.9175,32874,4779 LIBERTY AV,ROBBERY,1/1/90,80900,40.46107271,-79.94764804
1361745.729,419343.2848,32874,5600 PENN AV,AGGRAVATED ASSAULT,1/1/90,111500,40.46389868,-79.93085611
1353029.519,402359.7471,32875,3247 ARLINGTON AV,ROBBERY,1/2/90,160400,40.4166985,-79.96064401
1351340.433,410399.55,32875,183 BURROWS ST,AGGRAVATED ASSAULT,1/2/90,51000,40.43864462,-79.96743325
1351174.047,410440.8089,32875,220 BURROWS ST,ROBBERY,1/2/90,40200,40.43874637,-79.96803454
1348102.398,412548.4207,32875,2017 CENTRE AV,ROBBERY,1/2/90,50100,40.44431764,-79.97925733
1348176.524,412807.903,32875,2100 WYLIE AV,RAPE,1/2/90,50100,40.44503482,-79.97901462
1348176.524,412807.903,32875,2100 WYLIE AV,ROBBERY,1/2/90,50100,40.44503482,-79.97901462
1347891.491,412839.7694,32875,18 DAVENPORT ST,AGGRAVATED ASSAULT,1/2/90,50100,40.44510252,-79.98004129
1348016.777,414371.3723,32875,900 WHITESIDE RD,AGGRAVATED ASSAULT,1/2/90,50900,40.4493141,-79.97973021
1361170.103,417108.7059,32875,5700 CENTRE AV,ROBBERY,1/2/90,70500,40.45772762,-79.93272576
1357053.079,418023.9992,32875,4808 SCIOTA ST,ROBBERY,1/2/90,80400,40.45995908,-79.94759798
1363624.069,418434.4007,32875,6100 PENN AV,ROBBERY,1/2/90,111500,40.46153168,-79.92402712
1360172.801,419642.5322,32875,5400 PENN AV,AGGRAVATED ASSAULT,1/2/90,80900,40.4646131,-79.936534
1346005.636,411360.5258,32876,1400 CENTRE AV,ROBBERY,1/3/90,20100,40.4409124,-79.98668027
1348909.156,413189.8419,32876,2200 WYLIE AV,MURDER/MANSLAUGHTER,1/3/90,50100,40.44613364,-79.97641775
1373633.389,414194.3643,32876,500 CORA ST,AGGRAVATED ASSAULT,1/3/90,130400,40.45056696,-79.88769727
1373633.389,414194.3643,32876,500 CORA ST,ROBBERY,1/3/90,130400,40.45056696,-79.88769727
1349934.718,415117.5729,32876,2547 CHAUNCEY DR,AGGRAVATED ASSAULT,1/3/90,50900,40.45149447,-79.97290842
1350936.899,415286.8451,32876,2800 BEDFORD AV,RAPE,1/3/90,50100,40.45202816,-79.96932373
1341388.485,415782.9927,32876,800 UNION PL,RAPE,1/3/90,220400,40.45272593,-80.00366837
1341388.485,415782.9927,32876,800 UNION PL,ROBBERY,1/3/90,220400,40.45272593,-80.00366837
1341249.957,415880.6288,32876,255 E OHIO ST,AGGRAVATED ASSAULT,1/3/90,220400,40.45298415,-80.00417494
1341110.006,416295.0625,32876,801 UNION PL,ROBBERY,1/3/90,220400,40.45411159,-80.00471569
1343874.448,417014.7288,32876,819 CHESTNUT ST,ROBBERY,1/3/90,230400,40.45627973,-79.99485085
1367569.582,418296.1041,32876,500 LINCOLN AV,ROBBERY,1/3/90,120800,40.46141789,-79.90983979
1367569.582,418296.1041,32876,500 LINCOLN AV,ROBBERY,1/3/90,120800,40.46141789,-79.90983979
1367569.582,418296.1041,32876,500 LINCOLN AV,ROBBERY,1/3/90,120800,40.46141789,-79.90983979
1361989.427,404292.4099,32877,4250 MURRAY AV,ROBBERY,1/4/90,151700,40.42261319,-79.92864623
1350511.252,405118.1512,32877,5 KOSCIUSKO WY,ROBBERY,1/4/90,160800,40.42409457,-79.96993431
1373761.365,413784.9999,32877,500 ROSEDALE ST,ROBBERY,1/4/90,130400,40.44945208,-79.88720197
1373125.428,414806.0931,32877,7700 MULFORD ST,ROBBERY,1/4/90,130400,40.45221189,-79.8895752
1379246.705,415121.0466,32877,2227 WILNER DR,AGGRAVATED ASSAULT,1/4/90,130600,40.45348115,-79.86761301
1366925.974,420173.9289,32877,600 LARIMER AV,ROBBERY,1/4/90,120400,40.46652772,-79.91231732
1342861.278,412568.5811,32878,900 PENN AV,ROBBERY,1/5/90,20100,40.4440083,-79.99808384
1372483.48,414669.537,32878,514 N BRADDOCK AV,ROBBERY,1/5/90,130400,40.45179444,-79.89186934
1360336.354,415560.7402,32878,5437 ELLSWORTH AV,ROBBERY,1/5/90,70900,40.45342318,-79.93558335
1361634.23,415662.0171,32878,702 SUMMERLEA ST,ROBBERY,1/5/90,70500,40.45378916,-79.93093001
1343844.033,418118.0833,32878,946 ITIN ST,ROBBERY,1/5/90,230400,40.45930532,-79.9950609
1343844.033,418118.0833,32878,946 ITIN ST,ROBBERY,1/5/90,230400,40.45930532,-79.9950609
1370151.4,419637.7653,32878,6900 APPLE AV,ROBBERY,1/5/90,120300,40.46527258,-79.90068141
1339858.982,421379.5248,32878,2400 PERRYSVILLE AV,AGGRAVATED ASSAULT,1/5/90,261400,40.46797605,-80.00967711
1342160.247,424277.449,32878,315 PENFORT ST,AGGRAVATED ASSAULT,1/5/90,260900,40.47608954,-80.00167425
1342160.247,424277.449,32878,315 PENFORT ST,ROBBERY,1/5/90,260900,40.47608954,-80.00167425
1341659.055,426778.071,32878,300 MT. PLEASANT RD,AGGRAVATED ASSAULT,1/5/90,260900,40.48291637,-80.0037046
1350667.83,405045.6017,32879,2612 JOSEPHINE ST,ROBBERY,1/6/90,160800,40.42390629,-79.96936554
1340515.683,407015.9285,32879,75 WYOMING ST,ROBBERY,1/6/90,191400,40.42860705,-80.00599894
